DISTRITO,TARIFA,CARTERA,consumo_promedio,consumo_std,importe_promedio,importe_std,consumo_minimo,consumo_maximo,total_registros
CORONGO,BT5B,COMÚN,44.18083462132921,101.8441096292534,43.79196290571871,105.33502322574223,1.0,1300.0,647
CORONGO,MT3,M,1270.8355000000001,486.7933712732197,798.5600000000002,273.9412300111102,2.07,1726.92,25
CORONGO,MT3,MAYOR,1562.0,0.0,963.7,0.0,1562.0,1562.0,1
CORONGO,MT4,M,1150.5435234567901,327.0677639478386,960.4123456790121,198.83282952188512,659.69,1913.142,81
CORONGO,MT4,MAYOR,1138.0,381.27286816661893,997.5666666666666,270.45351418188926,783.0,1541.0,3
CORTEGANA,BT5B,C,14.667155512543735,41.28042026315277,15.029425047768004,39.50870862441017,0.6,2961.0,40299
CORTEGANA,BT5B,COMÚN,17.29795299469295,40.49852377902232,18.93593631539047,42.04332847624753,1.0,583.0,1319
COSPAN,BT5B,C,24.049089170959697,49.90745197178136,23.74943438313246,48.27969206779227,0.2,989.0,18829
COSPAN,BT5B,COMÚN,23.645484949832777,47.71303883696324,25.470735785953185,49.19734467845608,1.0,530.0,598
COTAPARACO,BT5B,C,41.42647561311656,87.30948000023565,38.6284375861119,85.75213811375666,0.4,1112.0,3629
COTAPARACO,BT5B,COMÚN,43.78378378378378,96.43607448417039,43.050450450450455,99.45274243110634,1.0,736.0,111
CULEBRAS,BT5B,C,69.06100187087166,184.66312456721286,64.7866137222707,176.54584691267672,0.2,24010.0,26191
CULEBRAS,BT5B,COMÚN,65.35948477751757,106.20940097753223,68.54894613583129,113.87293989731526,1.0,1810.0,854
CULEBRAS,BT5D,C,3511.4,1031.553652473314,2561.746666666667,727.813258416221,1815.0,7023.0,30
CULEBRAS,BT5D,COMÚN,2251.0,0.0,1744.5,0.0,2251.0,2251.0,1
CULEBRAS,MT2,M,5705.50635952381,2889.6552663741986,3984.1785714285706,1654.880913928768,680.9084,9327.6384,42
